Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
3.500.000 TL,Alasehir,120,1,3. Kat,7 Yaşında,Merkezi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1
2.150.000 TL,Turgutlu,85,1,4. Kat,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2150000.0,2,1
3.850.000 TL,Akhisar,165,1,1. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,3,1
3.500.000 TL,Akhisar,150,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1
3.500.000 TL,Yunusemre,110,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1
3.550.000 TL,Turgutlu,145,1,3. Kat,17 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,-,3550000.0,3,1
4.600.000 TL,Turgutlu,130,1,2. Kat,6 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1
1.700.000 TL,Alasehir,47,1,2. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,1,1
3.100.000 TL,Turgutlu,107,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0,2,1
15.500.000 TL,Yunusemre,270,3,-,25 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,15500000.0,4,1
4.200.000 TL,Yunusemre,130,1,Bahçe Katı,4 Yaşında,Soba,Yok,Yok,Var,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,4200000.0,4,1
2.400.000 TL,Akhisar,120,1,1. Kat,15 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,2400000.0,2,1
4.750.000 TL,Sehzadeler,130,1,2. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4750000.0,3,1
3.295.000 TL,Sehzadeler,135,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3295000.0,3,1
3.375.000 TL,Sehzadeler,110,1,4. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3375000.0,2,1
3.200.000 TL,Alasehir,145,2,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3200000.0,3,1
2.075.000 TL,Kirkagac,115,1,Ara Kat,28 Yaşında,Kombi,Yok,Yok,Var,-,-,Müstakil Tapulu,-,-,2075000.0,3,1
3.490.000 TL,Sehzadeler,105,1,1. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı,3490000.0,2,1
3.695.000 TL,Yunusemre,90,1,Ara Kat,5 Yaşında,Kombi,Var,Var,Var,Sıfır,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3695000.0,2,1
3.700.000 TL,Yunusemre,130,1,4. Kat,30 Yaşında,Kombi,Yok,Yok,Var,İkinci El,-,Kat İrtifakı,Evet,Eşyalı Değil,3700000.0,3,1
4.650.000 TL,Sehzadeler,300,1,Villa Katı,1 Yaşında,Yerden Isıtma,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,4650000.0,2,1
1.190.000 TL,Kirkagac,115,1,4. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,1190000.0,2,1
3.875.000 TL,Sehzadeler,115,1,3. Kat,26 Yaşında,Kombi,Yok,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3875000.0,3,1
3.500.000 TL,Kirkagac,100,1,-,50 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı,3500000.0,2,1
24.990.000 TL,Turgutlu,370,3,Bahçe Katı,6 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı,24990000.0,6,1
2.750.000 TL,Turgutlu,85,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2750000.0,2,1
3.100.000 TL,Yunusemre,80,1,2. Kat,4 Yaşında,Kombi,Var,Var,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,3100000.0,2,1
1.150.000 TL,Ahmetli,80,1,2. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1150000.0,1,1
3.550.000 TL,Sehzadeler,120,1,3. Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,-,Kat İrtifakı,Hayır,Eşyalı Değil,3550000.0,3,1
3.975.000 TL,Sehzadeler,120,1,Bahçe Katı,21 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,-,3975000.0,3,1
1.595.000 TL,Turgutlu,120,1,2. Kat,26 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,1595000.0,3,1
3.950.000 TL,Sehzadeler,120,1,Ara Kat,25 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3950000.0,3,1
3.495.000 TL,Sehzadeler,130,1,4. Kat,21 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3495000.0,3,1
565.000 TL,Akhisar,73,-,Bahçe Katı,31 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,565000.0,1,1
1.725.000 TL,Akhisar,91,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,1725000.0,3,1
2.680.000 TL,Turgutlu,115,1,3. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2680000.0,3,1
7.100.000 TL,Yunusemre,160,2,Çatı Katı,16 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7100000.0,4,1
3.400.000 TL,Salihli,125,1,Yüksek Giriş,18 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil,3400000.0,3,1
2.700.000 TL,Saruhanli,50,1,Yüksek Giriş,1 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-,2700000.0,1,1
750.000 TL,Akhisar,34,1,-,10 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Arsa,-,Eşyalı Değil,750000.0,1,1
2.950.000 TL,Yunusemre,125,1,5. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,-,2950000.0,3,1
4.650.000 TL,Sehzadeler,135,1,4. Kat,26 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,4650000.0,3,1
2.475.000 TL,Turgutlu,90,1,1. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2475000.0,2,1
3.950.000 TL,Yunusemre,130,1,2. Kat,8 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1
2.000.000 TL,Salihli,345,1,-,15 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,-,Eşyalı Değil,2000000.0,2,1
2.340.000 TL,Yunusemre,70,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı,2340000.0,1,1
3.290.000 TL,Sehzadeler,130,1,-,Sıfır Bina,Klima,Yok,Yok,Yok,Sıfır,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,3290000.0,2,1
3.500.000 TL,Yunusemre,430,1,-,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,3500000.0,3,1
2.950.000 TL,Sehzadeler,85,1,Yüksek Giriş,25 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2950000.0,2,1
2.100.000 TL,Akhisar,140,1,1. Kat,26 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,-,Eşyalı Değil,2100000.0,3,1
2.950.000 TL,Sehzadeler,105,1,En Üst Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,3,1
8.850.000 TL,Yunusemre,225,2,4. Kat,16 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,8850000.0,4,1
1.700.000 TL,Akhisar,90,1,2. Kat,21 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1700000.0,2,1
2.850.000 TL,Salihli,145,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,2850000.0,2,1
2.950.000 TL,Turgutlu,115,1,3. Kat,25 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2950000.0,2,1
2.850.000 TL,Yunusemre,100,1,Çatı Katı,29 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2850000.0,3,1
2.500.000 TL,Akhisar,100,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2500000.0,2,1
4.850.000 TL,Yunusemre,135,1,4. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4850000.0,3,1
3.000.000 TL,Alasehir,150,1,En Üst Kat,15 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,3,1
7.950.000 TL,Yunusemre,160,2,Yüksek Giriş,1 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7950000.0,3,1
2.300.000 TL,Turgutlu,100,1,Ara Kat,25 Yaşında,Kombi,Var,Yok,Yok,-,-,Kat Mülkiyeti,-,Eşyalı Değil,2300000.0,2,1
2.300.000 TL,Saruhanli,101,1,Ara Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2300000.0,2,1
4.150.000 TL,Sehzadeler,105,2,Yüksek Giriş,2 Yaşında,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,2,1
2.450.000 TL,Yunusemre,65,1,4. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,1,1
3.950.000 TL,Yunusemre,140,1,Giriş Katı,30 Yaşında,Kombi,Var,Var,Var,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,3950000.0,3,1
2.650.000 TL,Soma,95,1,3. Kat,5 Yaşında,Merkezi,Yok,Yok,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,-,-,2650000.0,2,1
3.950.000 TL,Sehzadeler,498,1,-,49 Yaşında,Soba,Yok,Yok,Var,İkinci El,Boş,Arsa,Hayır,Eşyalı Değil,3950000.0,4,1
2.550.000 TL,Akhisar,90,1,1. Kat,31 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,2550000.0,2,1
4.250.000 TL,Yunusemre,120,1,6. Kat,21 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1
3.150.000 TL,Yunusemre,60,1,2. Kat,1 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3150000.0,1,1
2.650.000 TL,Sehzadeler,100,1,4. Kat,26 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1
6.750.000 TL,Turgutlu,209,1,Bahçe Katı,11 Yaşında,Doğalgaz Sobası,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,6750000.0,3,1
3.200.000 TL,Sehzadeler,115,1,Ara Kat,35 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3200000.0,3,1
2.100.000 TL,Salihli,52,1,5. Kat,6 Yaşında,Klima,Var,Var,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2100000.0,1,1
3.150.000 TL,Akhisar,110,1,En Üst Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0,2,1
6.250.000 TL,Yunusemre,120,1,Kot 3,15 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,6250000.0,2,1
2.550.000 TL,Turgutlu,130,2,Yüksek Giriş,1 Yaşında,Klima,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2550000.0,2,1
4.000.000 TL,Gordes,110,1,Bahçe Katı,30 Yaşında,Soba,Yok,Yok,Yok,-,-,Müstakil Tapulu,Hayır,-,4000000.0,3,0
16.000.000 TL,Turgutlu,342,1,-,27 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,16000000.0,4,1
3.480.000 TL,Salihli,150,1,8. Kat,25 Yaşında,Klima,Var,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3480000.0,3,1
2.600.000 TL,Turgutlu,110,1,En Üst Kat,20 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2600000.0,2,1
3.500.000 TL,Sehzadeler,90,1,2. Kat,35 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1
2.650.000 TL,Sehzadeler,70,1,Zemin,30 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı,2650000.0,2,1
2.200.000 TL,Sehzadeler,150,1,Çatı Katı,31 Yaşında,Soba,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2200000.0,3,1
3.450.000 TL,Yunusemre,115,1,3. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0,2,1
5.750.000 TL,Yunusemre,170,2,4. Kat,11 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5750000.0,3,1
2.350.000 TL,Salihli,110,1,Ara Kat,50 Yaşında,Klima,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,Eşyalı Değil,2350000.0,3,1
3.350.000 TL,Yunusemre,85,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1
2.725.000 TL,Salihli,120,1,3. Kat,21 Yaşında,Klima,Yok,Yok,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,2725000.0,3,1
5.750.000 TL,Yunusemre,100,1,En Üst Kat,4 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,5750000.0,2,1
4.700.000 TL,Yunusemre,130,1,3. Kat,15 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4700000.0,3,1
2.780.000 TL,Akhisar,108,1,2. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2780000.0,2,1
1.750.000 TL,Turgutlu,110,1,3. Kat,30 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil,1750000.0,2,1
2.850.000 TL,Turgutlu,102,1,3. Kat,4 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı,2850000.0,2,1
2.900.000 TL,Soma,110,1,1. Kat,4 Yaşında,Merkezi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,3,1
2.500.000 TL,Turgutlu,135,1,Giriş Katı,15 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,3,1
3.400.000 TL,Salihli,87,1,En Üst Kat,5 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1
5.700.000 TL,Yunusemre,120,3,-,Sıfır Bina,Klima,Var,Yok,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5700000.0,3,1
10.400.000 TL,Yunusemre,150,2,Yüksek Giriş,4 Yaşında,Güneş Enerjisi,Yok,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,10400000.0,3,1
2.900.000 TL,Turgutlu,105,1,Zemin,11 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,2,1
2.100.000 TL,Akhisar,130,1,1. Kat,26 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2100000.0,3,1
2.450.000 TL,Akhisar,140,2,4. Kat,26 Yaşında,Kombi,Var,Var,Yok,-,Boş,Tapu Yok,Hayır,Eşyalı Değil,2450000.0,3,1
1.750.000 TL,Akhisar,130,1,Zemin,26 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,1750000.0,3,1
2.100.000 TL,Sehzadeler,119,1,Bahçe Katı,31 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2100000.0,2,1
810.000 TL,Akhisar,226,1,-,32 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,810000.0,3,1
1.975.000 TL,Akhisar,130,1,3. Kat,26 Yaşında,Soba,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,-,1975000.0,3,1
1.780.000 TL,Saruhanli,354,1,Yüksek Giriş,32 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı,1780000.0,2,1
2.750.000 TL,Salihli,160,1,5. Kat,21 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2750000.0,3,1
7.300.000 TL,Salihli,174,2,-,3 Yaşında,Belirtilmemiş,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Arsa,Evet,Eşyalı Değil,7300000.0,2,1
2.099.000 TL,Turgutlu,100,1,4. Kat,20 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2099000.0,2,1
1.980.000 TL,Akhisar,130,1,Giriş Katı,21 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı,1980000.0,3,1
2.900.000 TL,Ahmetli,145,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Var,Yok,-,-,Kat İrtifakı,-,-,2900000.0,3,1
3.500.000 TL,Akhisar,220,2,2. Kat,11 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,5,1
3.450.000 TL,Sehzadeler,120,1,Zemin,26 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3450000.0,1,1
2.650.000 TL,Turgutlu,110,1,3. Kat,7 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0,2,1
1.900.000 TL,Salihli,60,1,3. Kat,10 Yaşında,Klima,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı,1900000.0,1,1
13.500.000 TL,Yunusemre,220,2,3. Kat,2 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,13500000.0,4,1
8.500.000 TL,Turgutlu,280,3,6. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0,5,1
3.075.000 TL,Akhisar,140,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3075000.0,3,1
3.675.000 TL,Salihli,90,1,En Üst Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3675000.0,2,1
3.400.000 TL,Kirkagac,120,2,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,3,1
3.500.000 TL,Akhisar,140,1,2. Kat,7 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1
2.750.000 TL,Saruhanli,90,1,3. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,2750000.0,2,1
4.000.000 TL,Yunusemre,110,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0,2,1
3.600.000 TL,Yunusemre,60,1,Bahçe Katı,3 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,1,1
3.550.000 TL,Akhisar,130,2,1. Kat,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1
2.585.000 TL,Akhisar,115,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2585000.0,2,1
1.580.000 TL,Akhisar,290,1,-,25 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Kiracılı,Müstakil Tapulu,-,Eşyalı Değil,1580000.0,2,1
3.250.000 TL,Sehzadeler,120,1,En Üst Kat,50 Yaşında,Merkezi,Var,Var,Yok,İkinci El,-,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1
1.850.000 TL,Soma,460,1,-,25 Yaşında,Soba,Yok,Yok,Var,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,1850000.0,2,1
4.200.000 TL,Sehzadeler,231,1,-,37 Yaşında,Soba,Yok,Yok,Var,İkinci El,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,4200000.0,3,1
11.000.000 TL,Akhisar,280,3,-,5 Yaşında,Kombi,Yok,Yok,Var,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı,11000000.0,4,2
3.500.000 TL,Soma,300,1,Bahçe Katı,21 Yaşında,Soba,Yok,Var,Var,-,Kiracılı,Hisseli Tapu,Hayır,-,3500000.0,2,1
5.295.000 TL,Salihli,210,3,4. Kat,2 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5295000.0,3,1
1.925.000 TL,Salihli,50,1,Ara Kat,8 Yaşında,Klima,Yok,Var,Yok,-,-,Kat Mülkiyeti,-,-,1925000.0,1,1
3.175.000 TL,Yunusemre,85,1,Yüksek Giriş,4 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3175000.0,2,1
1.650.000 TL,Salihli,55,1,5. Kat,10 Yaşında,Klima,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı,1650000.0,1,1
2.700.000 TL,Yunusemre,180,2,-,20 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2700000.0,2,1
2.150.000 TL,Akhisar,130,2,2. Kat,35 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,2150000.0,3,1
2.600.000 TL,Salihli,105,-,Ara Kat,20 Yaşında,Klima,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,-,Eşyalı Değil,2600000.0,2,1
9.650.000 TL,Sehzadeler,200,2,4. Kat,6 Yaşında,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,9650000.0,3,1
9.750.000 TL,Yunusemre,185,2,5. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,9750000.0,3,1
4.200.000 TL,Turgutlu,160,2,4. Kat,6 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1
2.900.000 TL,Yunusemre,46,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,1,1
3.420.000 TL,Soma,180,1,1. Kat,35 Yaşında,Jeotermal Isıtm...,Var,Yok,Yok,İkinci El,Boş,Hisseli Tapu,Hayır,Eşyalı Değil,3420000.0,3,1
3.100.000 TL,Saruhanli,147,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1
3.100.000 TL,Yunusemre,85,1,5. Kat,32 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3100000.0,2,1
1.350.000 TL,Koprubasi,180,1,-,40 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,1350000.0,3,1
