Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric
2.350.000 TL,Yunusemre,2 + 1,75,1,Giriş Katı,11 Yaşında,Kombi,Yok,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,2350000.0
2.650.000 TL,Soma,2 + 1,95,1,2. Kat,Sıfır Bina,Merkezi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2650000.0
8.600.000 TL,Yunusemre,3 + 2,553,2,Bahçe Katı,2 Yaşında,Kat Kaloriferi,Yok,Var,Yok,-,Boş,Tapu Yok,Hayır,Eşyalı Değil,8600000.0
3.650.000 TL,Yunusemre,2 + 1,95,1,Ara Kat,5 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3650000.0
3.000.000 TL,Akhisar,3 + 1,145,1,3. Kat,20 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3000000.0
3.480.000 TL,Yunusemre,3 + 1,115,-,Ara Kat,4 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,-,3480000.0
3.700.000 TL,Yunusemre,3 + 1,120,1,2. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,3700000.0
3.750.000 TL,Sehzadeler,3 + 1,125,1,4. Kat,36 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,-,3750000.0
3.250.000 TL,Sehzadeler,2 + 1,89,1,4. Kat,50 Yaşında,Kombi,Var,Var,Yok,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0
4.450.000 TL,Turgutlu,3 + 1,140,2,3. Kat,6 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,4450000.0
3.450.000 TL,Akhisar,3 + 1,130,1,3. Kat,2 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3450000.0
5.400.000 TL,Turgutlu,3 + 1,140,2,1. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5400000.0
2.950.000 TL,Yunusemre,2 + 1,85,1,3. Kat,4 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2950000.0
4.950.000 TL,Sehzadeler,3 + 1,120,1,2. Kat,16 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4950000.0
4.160.000 TL,Akhisar,3 + 1,150,2,Ara Kat,4 Yaşında,Kombi,Yok,Var,Var,-,-,Müstakil Tapulu,Evet,-,4160000.0
8.000.000 TL,Yunusemre,2 + 1,95,1,6. Kat,Sıfır Bina,Yerden Isıtma,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,8000000.0
4.350.000 TL,Turgutlu,3 + 1,135,1,3. Kat,10 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4350000.0
2.600.000 TL,Yunusemre,1 + 1,70,1,2. Kat,5 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı,2600000.0
8.500.000 TL,Akhisar,5 + 1,300,3,3. Kat,2 Yaşında,Kombi,Var,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,8500000.0
4.950.000 TL,Turgutlu,3 + 1,130,2,4. Kat,5 Yaşında,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4950000.0
4.150.000 TL,Yunusemre,1 + 1,85,1,2. Kat,6 Yaşında,Kombi,Var,Yok,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,4150000.0
3.950.000 TL,Akhisar,3 + 1,130,2,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,3950000.0
8.500.000 TL,Yunusemre,5 + 1,320,2,5. Kat,20 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,-,Eşyalı Değil,8500000.0
4.600.000 TL,Yunusemre,1 + 1,60,1,3. Kat,1 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4600000.0
4.000.000 TL,Yunusemre,2 + 1,80,1,3. Kat,5 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0
2.300.000 TL,Saruhanli,2 + 1,75,1,3. Kat,Sıfır Bina,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2300000.0
2.850.000 TL,Turgutlu,2 + 1,90,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2850000.0
6.700.000 TL,Sehzadeler,4 + 1,160,2,Bahçe Katı,3 Yaşında,Soba,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı,6700000.0
3.500.000 TL,Akhisar,3 + 1,126,2,2. Kat,6 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0
4.600.000 TL,Yunusemre,4 + 1,185,2,3. Kat,4 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4600000.0
7.500.000 TL,Salihli,1 + 1,100,1,Bahçe Katı,Sıfır Bina,Soba,Yok,Var,Yok,-,Boş,Arsa,Hayır,Eşyalı,7500000.0
7.900.000 TL,Yunusemre,3 + 1,145,2,2. Kat,20 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,7900000.0
6.250.000 TL,Turgutlu,3 + 1,170,2,3. Kat,Sıfır Bina,Merkezi (Pay Öl...,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,6250000.0
7.760.000 TL,Yunusemre,2 + 1,71,1,4. Kat,1 Yaşında,Merkezi (Pay Öl...,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,7760000.0
14.750.000 TL,Yunusemre,4 + 1,200,2,7. Kat,9 Yaşında,Kombi,Var,Yok,Var,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,14750000.0
8.400.000 TL,Salihli,5 + 1,290,3,4. Kat,11 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,8400000.0
5.150.000 TL,Yunusemre,3 + 1,120,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Yok,Sıfır,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,5150000.0
1.350.000 TL,Soma,2 + 1,120,1,-,20 Yaşında,Soba,Yok,Yok,Var,İkinci El,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,1350000.0
4.000.000 TL,Salihli,2 + 1,143,1,-,25 Yaşında,Soba,Yok,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0
5.500.000 TL,Akhisar,4 + 2,267,3,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5500000.0
3.750.000 TL,Saruhanli,3 + 1,125,1,5. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3750000.0
2.300.000 TL,Yunusemre,1 + 1,80,1,Yüksek Giriş,21 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,2300000.0
3.895.000 TL,Sehzadeler,3 + 1,150,1,Yüksek Giriş,21 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3895000.0
3.250.000 TL,Salihli,2 + 1,95,1,Kot 1,5 Yaşında,Doğalgaz Sobası,Var,Var,Var,-,-,Kat Mülkiyeti,-,-,3250000.0
4.000.000 TL,Akhisar,3 + 1,135,2,1. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0
4.200.000 TL,Turgutlu,3 + 1,140,1,3. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,-,4200000.0
4.750.000 TL,Turgutlu,3 + 1,157,2,3. Kat,4 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0
2.790.000 TL,Yunusemre,2 + 1,75,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2790000.0
6.495.000 TL,Yunusemre,2 + 0,135,1,Bahçe Katı,6 Yaşında,Klima,Yok,Var,Var,-,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,6495000.0
3.350.000 TL,Yunusemre,1 + 1,60,1,5. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3350000.0
4.250.000 TL,Sehzadeler,3 + 1,130,1,1. Kat,20 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4250000.0
2.500.000 TL,Turgutlu,3 + 1,150,1,4. Kat,18 Yaşında,Kombi,Var,Yok,Yok,Yapım Aşamasınd...,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0
5.250.000 TL,Yunusemre,2 + 1,103,1,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,5250000.0
9.100.000 TL,Turgutlu,5 + 1,300,2,4. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,9100000.0
1.200.000 TL,Akhisar,2 + 0,140,1,4. Kat,40 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,1200000.0
3.750.000 TL,Akhisar,3 + 1,140,2,2. Kat,16 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3750000.0
3.000.000 TL,Salihli,2 + 1,1,1,-,50 Yaşında,Soba,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,-,3000000.0
4.200.000 TL,Yunusemre,3 + 1,200,1,Yüksek Giriş,6 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0
3.250.000 TL,Akhisar,2 + 0,100,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3250000.0
3.100.000 TL,Saruhanli,2 + 1,105,1,2. Kat,Sıfır Bina,Kombi,Var,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,-,3100000.0
7.000.000 TL,Yunusemre,3 + 1,115,2,2. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,7000000.0
5.750.000 TL,Turgutlu,3 + 1,145,2,1. Kat,4 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,5750000.0
3.500.000 TL,Akhisar,3 + 1,140,2,1. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3500000.0
3.575.000 TL,Turgutlu,1 + 1,60,1,Bahçe Katı,Sıfır Bina,Merkezi (Pay Öl...,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3575000.0
11.950.000 TL,Yunusemre,3 + 1,134,2,13. Kat,1 Yaşında,Merkezi (Pay Öl...,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,11950000.0
6.850.000 TL,Yunusemre,2 + 1,110,1,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,6850000.0
3.950.000 TL,Yunusemre,2 + 1,105,1,4. Kat,21 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Müstakil Tapulu,Evet,Eşyalı Değil,3950000.0
9.095.000 TL,Yunusemre,3 + 1,150,2,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,9095000.0
2.045.000 TL,Salihli,2 + 1,100,-,-,20 Yaşında,Soba,Yok,Yok,Yok,İkinci El,Mülk Sahibi,Arsa,Evet,Eşyalı Değil,2045000.0
3.200.000 TL,Sehzadeler,3 + 1,110,1,En Üst Kat,28 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3200000.0
4.575.000 TL,Yunusemre,1 + 1,65,1,1. Kat,5 Yaşında,Yerden Isıtma,Yok,Yok,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı,4575000.0
3.870.000 TL,Yunusemre,2 + 1,95,1,Ara Kat,5 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3870000.0
3.650.000 TL,Yunusemre,2 + 1,105,1,3. Kat,1 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3650000.0
2.475.000 TL,Akhisar,3 + 1,125,1,Ara Kat,28 Yaşında,Kombi,Var,Var,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2475000.0
2.700.000 TL,Yunusemre,2 + 1,76,1,Yüksek Giriş,Sıfır Bina,Kombi,Var,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2700000.0
3.200.000 TL,Saruhanli,3 + 1,132,1,5. Kat,Sıfır Bina,Kombi,Var,Var,Yok,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0
2.900.000 TL,Saruhanli,2 + 1,85,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,Sıfır,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,2900000.0
5.000.000 TL,Yunusemre,3 + 1,155,1,Zemin,16 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,5000000.0
5.150.000 TL,Turgutlu,3 + 1,180,1,1. Kat,6 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,5150000.0
3.900.000 TL,Salihli,3 + 1,145,1,4. Kat,20 Yaşında,Jeotermal Isıtm...,Yok,Yok,Yok,-,-,Kat Mülkiyeti,-,-,3900000.0
3.150.000 TL,Akhisar,3 + 1,130,1,4. Kat,11 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3150000.0
2.780.000 TL,Yunusemre,2 + 1,85,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2780000.0
4.150.000 TL,Turgutlu,3 + 1,130,1,3. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,4150000.0
2.925.000 TL,Yunusemre,2 + 1,95,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2925000.0
3.800.000 TL,Turgutlu,2 + 1,102,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3800000.0
4.500.000 TL,Turgutlu,3 + 1,140,1,3. Kat,21 Yaşında,Kombi,Var,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4500000.0
6.000.000 TL,Salihli,2 + 1,567,1,-,1 Yaşında,Klima,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Hayır,Eşyalı Değil,6000000.0
4.750.000 TL,Soma,2 + 1,105,2,-,17 Yaşında,Merkezi,Var,Yok,Yok,İkinci El,Mülk Sahibi,Arsa,Evet,Eşyalı Değil,4750000.0
3.400.000 TL,Yunusemre,1 + 1,60,1,1. Kat,1 Yaşında,Yerden Isıtma,Var,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3400000.0
5.500.000 TL,Turgutlu,2 + 1,95,2,2. Kat,Sıfır Bina,Yerden Isıtma,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,5500000.0
4.600.000 TL,Akhisar,3 + 1,150,2,1. Kat,6 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0
3.575.000 TL,Sehzadeler,3 + 1,140,1,1. Kat,31 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3575000.0
3.499.000 TL,Turgutlu,3 + 1,134,1,Ara Kat,25 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3499000.0
3.950.000 TL,Akhisar,3 + 1,130,2,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0
15.750.000 TL,Akhisar,4 + 1,200,2,Bahçe Katı,3 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Müstakil Tapulu,Evet,Eşyalı Değil,15750000.0
5.175.000 TL,Salihli,3 + 1,145,2,3. Kat,1 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5175000.0
6.500.000 TL,Turgutlu,3 + 1,135,2,2. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0
7.000.000 TL,Akhisar,5 + 1,300,3,3. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,7000000.0
6.050.000 TL,Turgutlu,3 + 1,155,2,5. Kat,1 Yaşında,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,6050000.0
3.050.000 TL,Turgutlu,3 + 1,120,1,4. Kat,5 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3050000.0
3.600.000 TL,Kirkagac,3 + 1,125,1,4. Kat,5 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0
3.725.000 TL,Saruhanli,2 + 1,400,1,Bahçe Katı,11 Yaşında,Soba,Yok,Var,Yok,-,Boş,Arsa,Hayır,Eşyalı,3725000.0
9.095.000 TL,Yunusemre,3 + 1,150,2,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Var,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,9095000.0
2.950.000 TL,Yunusemre,1 + 1,70,1,Yüksek Giriş,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0
4.000.000 TL,Yunusemre,2 + 1,100,1,1. Kat,Sıfır Bina,Kombi,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil,4000000.0
9.750.000 TL,Turgutlu,3 + 1,202,1,3. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,-,9750000.0
3.100.000 TL,Yunusemre,2 + 1,90,1,2. Kat,6 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3100000.0
3.090.000 TL,Turgutlu,3 + 1,120,2,3. Kat,11 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil,3090000.0
3.900.000 TL,Salihli,3 + 1,125,1,Kot 2,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3900000.0
6.250.000 TL,Yunusemre,6 + 2,230,2,4. Kat,5 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6250000.0
11.500.000 TL,Yunusemre,5 + 1,230,2,Bahçe Katı,26 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,11500000.0
2.910.000 TL,Yunusemre,2 + 1,95,1,Yüksek Giriş,4 Yaşında,Kombi,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,2910000.0
2.800.000 TL,Turgutlu,3 + 1,120,1,4. Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2800000.0
2.650.000 TL,Saruhanli,2 + 1,100,1,Yüksek Giriş,4 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,2650000.0
4.200.000 TL,Akhisar,3 + 1,130,1,1. Kat,3 Yaşında,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0
3.800.000 TL,Turgutlu,3 + 1,155,1,3. Kat,6 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,-,3800000.0
4.100.000 TL,Turgutlu,5 + 1,250,2,4. Kat,6 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,4100000.0
2.750.000 TL,Saruhanli,2 + 1,125,1,3. Kat,25 Yaşında,Klima,Yok,Var,Yok,İkinci El,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,2750000.0
3.900.000 TL,Saruhanli,3 + 1,153,1,2. Kat,8 Yaşında,Kombi,Var,Yok,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0
3.200.000 TL,Turgutlu,2 + 1,90,1,2. Kat,Sıfır Bina,Kombi,Yok,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3200000.0
3.900.000 TL,Yunusemre,3 + 1,115,1,3. Kat,11 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3900000.0
10.000.000 TL,Akhisar,4 + 1,240,3,Bahçe Katı,2 Yaşında,Yerden Isıtma,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,10000000.0
3.675.000 TL,Salihli,2 + 1,110,1,1. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3675000.0
5.500.000 TL,Turgutlu,4 + 1,185,2,4. Kat,2 Yaşında,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0
1.850.000 TL,Turgutlu,2 + 1,110,1,4. Kat,21 Yaşında,Isıtma Yok,Var,Yok,Yok,-,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,1850000.0
4.400.000 TL,Sehzadeler,4 + 2,150,2,-,40 Yaşında,Kombi,Yok,Yok,Var,İkinci El,Kiracılı,Müstakil Tapulu,Hayır,Eşyalı Değil,4400000.0
3.500.000 TL,Akhisar,2 + 1,90,2,1. Kat,1 Yaşında,Yerden Isıtma,Yok,Yok,Var,Sıfır,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3500000.0
2.100.000 TL,Sehzadeler,2 + 1,96,1,Çatı Katı,30 Yaşında,Kombi,Var,Var,Yok,İkinci El,-,Kat İrtifakı,-,Eşyalı Değil,2100000.0
2.670.000 TL,Yunusemre,1 + 1,50,1,3. Kat,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2670000.0
3.200.000 TL,Akhisar,2 + 1,100,1,2. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,Sıfır,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0
2.750.000 TL,Yunusemre,2 + 1,85,1,4. Kat,7 Yaşında,Kombi,Yok,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,-,Eşyalı Değil,2750000.0
8.250.000 TL,Yunusemre,3 + 1,185,1,1. Kat,11 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,8250000.0
8.500.000 TL,Turgutlu,4 + 3,300,3,4. Kat,Sıfır Bina,Yerden Isıtma,Yok,Var,Var,-,Boş,Kat Mülkiyeti,Evet,-,8500000.0
7.000.000 TL,Turgutlu,3 + 1,175,2,4. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,7000000.0
5.250.000 TL,Yunusemre,3 + 1,145,1,3. Kat,5 Yaşında,Kombi,Yok,Yok,Var,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,5250000.0
3.300.000 TL,Yunusemre,2 + 1,70,1,2. Kat,1 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,3300000.0
3.500.000 TL,Yunusemre,2 + 1,90,1,2. Kat,6 Yaşında,Kombi,Yok,Yok,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil,3500000.0
2.600.000 TL,Salihli,3 + 1,150,1,4. Kat,16 Yaşında,Jeotermal Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2600000.0
4.250.000 TL,Akhisar,3 + 1,135,2,1. Kat,Sıfır Bina,Kombi,Var,Var,Var,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,4250000.0
2.950.000 TL,Saruhanli,2 + 1,105,1,Yüksek Giriş,5 Yaşında,Kombi,Var,Yok,Yok,-,-,Kat İrtifakı,-,-,2950000.0
3.300.000 TL,Salihli,-,-,-,-,-,-,Yok,Yok,Yok,-,-,-,-,-,3300000.0
2.850.000 TL,Turgutlu,2 + 1,110,1,Ara Kat,4 Yaşında,Kombi,Yok,Yok,Yok,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2850000.0
6.200.000 TL,Sehzadeler,2 + 1,215,1,1. Kat,26 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,6200000.0
3.600.000 TL,Sehzadeler,2 + 1,70,1,Ara Kat,Sıfır Bina,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,3600000.0
