Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Yunusemre,250,2,1,0,1,0,Müstakil Tapulu,-,Eşyalı Değil,7900000.0,5,1,4.0,3,2,1,0,0
Sehzadeler,145,1,30,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,4100000.0,4,1,0.5,3,0,1,0,0
Turgutlu,130,2,2,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,5400000.0,3,1,3.0,2,0,1,0,0
Yunusemre,275,2,14,1,1,0,Kat Mülkiyeti,Hayır,-,8980000.0,6,2,0.5,3,0,0,0,1
Turgutlu,120,1,6,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0,2,1,4.0,3,0,0,0,1
Sehzadeler,75,1,23,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1,3.0,3,0,0,0,1
Yunusemre,120,1,16,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3475000.0,3,1,0.0,3,0,0,0,1
Turgutlu,159,1,25,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2100000.0,2,1,0.0,3,0,0,0,1
Salihli,157,1,10,1,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,4800000.0,3,1,0.0,1,0,0,0,1
Yunusemre,160,2,12,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı,4490000.0,4,1,5.0,3,0,0,1,0
Turgutlu,105,1,8,0,0,0,Kat Mülkiyeti,Hayır,-,2350000.0,3,1,3.0,3,0,0,1,0
Akhisar,125,1,0,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,3,1,2.0,3,2,1,0,0
Yunusemre,145,1,6,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,4600000.0,3,1,2.0,3,0,0,1,0
Yunusemre,115,1,4,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,3950000.0,3,1,4.0,3,0,1,0,0
Yunusemre,100,1,11,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4650000.0,2,1,3.0,3,0,1,0,0
Salihli,145,1,15,1,1,1,Kat İrtifakı,Hayır,-,4650000.0,3,1,3.0,3,0,1,0,0
Yunusemre,125,1,6,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4550000.0,3,1,1.0,3,0,1,0,0
Turgutlu,280,3,0,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,8500000.0,5,1,5.0,3,0,1,0,0
Alasehir,155,2,6,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4750000.0,3,1,8.0,3,0,1,0,0
Salihli,125,1,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3650000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,145,2,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,7700000.0,3,1,5.0,3,0,0,0,1
Koprubasi,110,1,4,0,1,0,Kat Mülkiyeti,Evet,-,3150000.0,2,1,3.0,2,0,1,0,0
Yunusemre,145,1,13,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,6800000.0,3,1,5.0,3,0,0,1,0
Turgutlu,90,2,7,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2800000.0,2,1,5.0,2,0,0,0,1
Sehzadeler,120,1,20,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,3,1,3.0,3,0,0,0,1
Yunusemre,120,2,4,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,5700000.0,3,1,2.0,3,0,1,0,0
Salihli,85,1,4,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2450000.0,2,1,0.0,3,0,0,1,0
Yunusemre,140,1,6,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4200000.0,3,1,4.0,3,0,0,0,1
Sehzadeler,86,1,2,0,0,1,Tapu Yok,Evet,Eşyalı Değil,1550000.0,2,1,1.0,2,0,1,0,0
Turgutlu,145,1,2,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3250000.0,3,1,3.0,3,0,1,0,0
Akhisar,103,2,0,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,2,1,2.0,3,2,1,0,0
Ahmetli,45,1,6,1,0,0,Kat İrtifakı,-,Eşyalı,1800000.0,1,1,0.5,1,0,1,0,0
Yunusemre,80,1,8,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3150000.0,2,1,2.0,3,0,0,1,0
Yunusemre,90,1,2,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1,3.0,3,0,0,1,0
Salihli,135,1,3,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,6100000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,145,1,27,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3425000.0,3,1,5.0,3,0,0,0,1
Salihli,95,1,5,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3600000.0,2,1,3.0,3,0,0,0,1
Sehzadeler,90,1,34,0,0,0,Kat İrtifakı,Hayır,Eşyalı,2340000.0,2,1,5.0,1,0,0,1,0
Salihli,204,2,5,0,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,5400000.0,4,1,4.0,3,0,1,0,0
Akhisar,202,2,0,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,5250000.0,4,1,3.0,3,0,1,0,0
Alasehir,170,2,0,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,5250000.0,3,1,6.0,3,0,1,0,0
Akhisar,100,1,31,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1705000.0,2,1,0.0,1,0,0,1,0
Salihli,110,1,16,0,0,1,Kat Mülkiyeti,Evet,Eşyalı,2650000.0,3,1,-3.0,0,0,0,1,0
Akhisar,130,1,1,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,2890000.0,3,1,0.0,2,2,1,0,0
Turgutlu,90,2,0,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3800000.0,2,1,1.0,3,0,1,0,0
Yunusemre,140,1,8,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0,3,1,5.0,3,0,0,0,1
Turgutlu,160,2,1,1,0,1,Kat İrtifakı,-,Eşyalı Değil,5900000.0,3,1,1.0,3,2,1,0,0
Yunusemre,55,1,10,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,3250000.0,1,1,0.0,2,0,1,0,0
Salihli,130,1,25,0,1,1,Kat İrtifakı,-,Eşyalı Değil,4750000.0,3,1,2.0,3,0,1,0,0
Sehzadeler,130,1,26,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,3,1,1.0,3,0,0,0,1
Turgutlu,110,2,2,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,6300000.0,2,1,5.0,3,0,0,0,1
Akhisar,600,1,15,0,1,0,Müstakil Tapulu,-,Eşyalı Değil,10250000.0,2,0,3.0,1,0,0,0,1
Salihli,90,1,7,0,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,3500000.0,2,1,1.0,3,0,0,0,1
Sehzadeler,125,1,15,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3380000.0,3,1,2.0,3,0,1,0,0
Turgutlu,170,2,0,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1,4.0,3,1,1,0,0
Alasehir,170,2,0,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,5250000.0,3,1,6.0,3,0,1,0,0
Yunusemre,135,1,15,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4050000.0,3,1,2.0,3,0,1,0,0
Akhisar,365,1,25,0,0,0,Arsa,Hayır,Eşyalı Değil,3000000.0,2,1,3.0,1,0,0,1,0
Saruhanli,148,1,7,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,5000000.0,3,1,3.0,3,0,0,1,0
Akhisar,150,1,3,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,4250000.0,3,1,3.0,3,0,1,0,0
Turgutlu,110,1,0,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3850000.0,2,1,2.0,3,2,1,0,0
Turgutlu,165,2,1,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,7000000.0,3,0,1.0,3,2,1,0,0
Yunusemre,65,1,6,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4650000.0,2,0,3.0,3,0,0,1,0
Yunusemre,130,1,6,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4450000.0,3,1,3.0,3,0,1,0,0
Sehzadeler,100,1,30,1,1,0,Müstakil Tapulu,Evet,Eşyalı Değil,3975000.0,2,1,1.0,3,0,1,0,0
Turgutlu,110,1,0,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4000000.0,2,1,2.0,3,0,1,0,0
Sehzadeler,100,1,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,1,1,6.0,3,0,0,0,1
Akhisar,130,1,6,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,3,1,2.0,3,0,1,0,0
Akhisar,85,1,0,1,1,1,Kat İrtifakı,-,Eşyalı Değil,3300000.0,2,0,3.0,3,2,1,0,0
Yunusemre,110,1,4,0,0,1,Kat İrtifakı,Evet,Eşyalı Değil,7150000.0,2,1,2.0,3,0,0,1,0
Salihli,135,1,6,1,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,5670000.0,3,1,3.0,3,0,0,0,1
Sehzadeler,85,1,35,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4300000.0,2,1,1.0,3,0,0,0,1
Salihli,160,1,10,1,0,0,Müstakil Tapulu,-,Eşyalı Değil,3800000.0,3,1,4.0,3,0,1,0,0
Yunusemre,120,1,31,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3695000.0,2,1,5.0,3,0,1,0,0
Demirci,90,1,40,0,0,0,Arsa,Evet,Eşyalı Değil,600000.0,2,1,3.0,1,0,1,0,0
Akhisar,300,3,0,0,1,0,Müstakil Tapulu,Hayır,Eşyalı Değil,6700000.0,5,1,4.0,3,0,1,0,0
Turgutlu,172,2,5,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,5250000.0,3,1,4.0,2,0,0,1,0
Yunusemre,130,2,6,1,1,0,Müstakil Tapulu,Evet,Eşyalı Değil,4450000.0,3,1,3.0,3,0,0,1,0
Yunusemre,115,1,28,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,3800000.0,3,1,2.0,3,0,1,0,0
Sehzadeler,125,1,40,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,4299000.0,3,1,2.0,2,0,1,0,0
Turgutlu,125,1,7,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,3,1,5.0,3,0,1,0,0
Akhisar,125,1,5,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3850000.0,3,1,4.0,3,0,0,1,0
Akhisar,105,1,5,0,0,0,Müstakil Tapulu,Hayır,Eşyalı,8250000.0,2,0,3.0,1,0,1,0,0
Akhisar,115,1,0,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,2,1,2.0,3,2,1,0,0
Yunusemre,95,1,5,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3350000.0,2,1,4.0,3,0,1,0,0
Sehzadeler,125,1,21,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3975000.0,2,1,2.0,3,0,1,0,0
Turgutlu,115,1,21,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2550000.0,2,1,4.0,1,0,0,1,0
Akhisar,220,3,0,0,0,1,Kat İrtifakı,-,Eşyalı Değil,6500000.0,4,1,3.0,3,2,1,0,0
Sehzadeler,120,1,25,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3075000.0,3,1,5.0,3,0,0,1,0
Sehzadeler,90,1,31,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,7750000.0,2,1,1.0,1,0,1,0,0
Yunusemre,138,1,31,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3450000.0,3,1,0.5,3,0,1,0,0
Yunusemre,220,3,0,0,0,1,Müstakil Tapulu,Evet,Eşyalı Değil,17949000.0,5,1,3.0,3,2,1,0,0
Yunusemre,200,2,15,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,8150000.0,5,1,5.0,3,0,0,0,1
Sehzadeler,120,1,25,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,14000.0,3,1,5.0,3,0,1,0,0
Akhisar,260,2,11,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,5,1,0.0,3,0,0,1,0
Yunusemre,55,1,0,0,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,3550000.0,1,1,2.0,3,2,1,0,0
Saruhanli,400,1,11,0,1,0,Arsa,Evet,Eşyalı,3725000.0,2,1,3.0,1,0,1,0,0
Soma,115,1,7,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2550000.0,3,1,2.0,2,0,1,0,0
Yunusemre,110,1,14,1,0,1,Kat İrtifakı,-,Eşyalı Değil,3450000.0,3,1,0.5,3,0,1,0,0
Sehzadeler,135,1,16,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4500000.0,3,1,5.0,3,0,1,0,0
Yunusemre,280,2,6,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,6500000.0,6,1,5.0,3,0,0,0,1
Turgutlu,120,1,4,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4650000.0,3,1,3.0,3,0,1,0,0
Salihli,95,1,2,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1,5.0,3,0,0,1,0
Turgutlu,145,1,5,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0,3,1,5.0,3,0,1,0,0
Yunusemre,165,1,19,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1,3.0,3,0,0,1,0
Turgutlu,280,2,4,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4500000.0,3,1,2.0,2,0,1,0,0
Akhisar,125,2,0,1,1,1,Kat İrtifakı,-,Eşyalı Değil,4500000.0,3,1,2.0,3,2,1,0,0
Yunusemre,185,2,16,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4625000.0,3,1,1.0,3,0,0,0,1
Yunusemre,150,1,15,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,5500000.0,3,1,3.0,3,0,1,0,0
Turgutlu,115,2,1,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,2,1,10.0,2,0,0,1,0
Yunusemre,382,2,5,1,1,0,Kooperatiften H...,Evet,Eşyalı,6000000.0,4,1,0.0,1,0,1,0,0
Yunusemre,140,1,5,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6850000.0,3,1,0.5,3,0,0,1,0
Salihli,148,1,9,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3500000.0,3,1,0.0,1,0,0,1,0
Salihli,300,2,3,1,0,1,Kat Mülkiyeti,Evet,Eşyalı Değil,9750000.0,4,2,5.0,3,0,0,0,1
Akhisar,100,1,0,1,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2435000.0,1,1,0.5,3,2,1,0,0
Yunusemre,120,1,26,0,0,1,Kat İrtifakı,Evet,Eşyalı Değil,3800000.0,3,1,5.0,3,0,1,0,0
Sehzadeler,45,1,0,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3375000.0,1,1,3.0,3,0,1,0,0
Yunusemre,55,1,1,1,1,1,Kat İrtifakı,Hayır,Eşyalı,4100000.0,1,1,0.5,3,0,1,0,0
Kirkagac,90,1,31,1,0,0,Kat Mülkiyeti,-,Eşyalı Değil,1400000.0,2,1,2.0,3,0,1,0,0
Saruhanli,75,1,0,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,2,1,2.0,3,0,1,0,0
Yunusemre,112,1,16,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,6500000.0,3,1,2.0,3,0,1,0,0
Akhisar,170,2,0,0,0,1,Kat Mülkiyeti,-,Eşyalı Değil,8250000.0,4,1,5.0,3,2,1,0,0
Turgutlu,135,1,11,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3200000.0,3,1,4.0,3,0,0,1,0
Yunusemre,135,1,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,3,1,1.0,3,0,1,0,0
Salihli,80,1,6,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3150000.0,2,1,0.5,3,0,1,0,0
Akhisar,73,2,0,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,2950000.0,2,0,1.0,3,0,1,0,0
Sehzadeler,120,1,5,0,0,1,Kat Mülkiyeti,Evet,Eşyalı Değil,7200000.0,2,1,5.0,3,0,1,0,0
Salihli,250,2,0,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,7490000.0,5,1,0.0,3,0,1,0,0
Akhisar,142,2,8,1,1,1,Müstakil Tapulu,-,-,3590000.0,3,1,5.0,3,0,1,0,0
Turgutlu,130,2,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4650000.0,3,1,3.0,3,0,1,0,0
Salihli,145,1,13,0,0,1,Kat İrtifakı,-,Eşyalı Değil,5250000.0,3,1,4.0,3,0,0,0,1
Akhisar,138,1,11,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,3,1,2.0,3,0,0,0,1
Turgutlu,135,1,25,1,0,0,Kat Mülkiyeti,-,-,3750000.0,3,1,3.0,3,0,1,0,0
Yunusemre,75,1,4,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,2950000.0,2,1,2.0,3,0,1,0,0
Kirkagac,134,1,20,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2450000.0,3,1,1.0,3,0,0,0,1
Akhisar,120,2,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,4150000.0,3,1,3.0,3,2,1,0,0
Salihli,135,1,30,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,3,1,0.5,3,0,0,0,1
Sehzadeler,400,3,21,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı,10500000.0,4,1,5.0,3,0,1,0,0
Yunusemre,230,2,1,0,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,5700000.0,3,1,5.0,3,0,1,0,0
Yunusemre,95,1,10,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,3150000.0,3,1,0.5,3,0,1,0,0
Yunusemre,125,1,21,0,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,4450000.0,3,1,4.0,3,0,1,0,0
Yunusemre,120,1,25,1,0,0,Kat Mülkiyeti,-,-,3200000.0,3,1,4.0,3,0,1,0,0
Saruhanli,105,1,1,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,2995000.0,2,1,3.0,3,0,1,0,0
Akhisar,240,2,1,1,0,1,Kat Mülkiyeti,Evet,Eşyalı Değil,4670000.0,4,1,4.0,3,0,1,0,0
Sehzadeler,140,1,31,1,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,3375000.0,3,1,5.0,3,0,0,0,1
Akhisar,148,1,3,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı,4200000.0,3,0,5.0,3,0,1,0,0
Kirkagac,120,2,0,1,0,1,Kat İrtifakı,Evet,Eşyalı Değil,3550000.0,3,1,3.0,3,0,1,0,0
Turgutlu,132,1,12,0,0,0,Kat Mülkiyeti,-,Eşyalı Değil,2500000.0,2,1,1.0,3,0,1,0,0
Yunusemre,111,1,33,0,1,1,Kat Mülkiyeti,Hayır,-,2490000.0,2,1,0.5,1,0,0,1,0
Sehzadeler,340,2,10,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,4550000.0,4,2,0.0,3,0,0,1,0
Yunusemre,200,2,8,0,1,0,Kat İrtifakı,Evet,Eşyalı Değil,5300000.0,4,1,5.0,3,0,0,1,0
Akhisar,85,1,19,0,0,0,Kat Mülkiyeti,Evet,Eşyalı,2900000.0,2,1,1.0,3,0,0,1,0
Akhisar,80,1,0,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,2,1,1.0,3,2,1,0,0
Saruhanli,55,1,0,0,0,1,Kat İrtifakı,Hayır,Eşyalı,2650000.0,1,1,2.0,3,0,0,1,0
Salihli,125,1,0,1,1,1,Kat İrtifakı,Evet,-,3650000.0,3,1,3.0,3,2,1,0,0
Akhisar,125,1,1,0,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,4800000.0,3,1,1.0,3,2,1,0,0
Yunusemre,480,3,11,0,0,1,Kat İrtifakı,-,Eşyalı Değil,58900000.0,5,2,3.0,3,0,0,0,1
Turgutlu,175,1,21,0,0,0,Müstakil Tapulu,Hayır,-,2100000.0,3,1,0.0,1,0,0,1,0
Turgutlu,140,1,7,0,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2900000.0,3,1,5.0,3,0,1,0,0
Turgutlu,170,3,2,1,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,5500000.0,3,1,4.0,3,0,0,0,1
Turgutlu,95,1,11,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2700000.0,2,1,1.0,3,0,1,0,0
Yunusemre,220,2,17,1,1,1,Müstakil Tapulu,-,Eşyalı,6200000.0,4,1,5.0,3,0,0,0,1
Turgutlu,130,1,11,1,1,1,Kat Mülkiyeti,Evet,-,3500000.0,3,1,1.0,3,0,0,0,1
Turgutlu,255,3,0,1,1,1,Kat Mülkiyeti,Evet,-,7500000.0,4,1,4.0,3,0,1,0,0
Salihli,275,1,31,0,0,0,Müstakil Tapulu,Hayır,Eşyalı Değil,3250000.0,4,1,0.0,0,0,1,0,0
Akhisar,95,1,5,1,1,1,Müstakil Tapulu,-,-,2980000.0,2,1,3.0,3,0,1,0,0
Salihli,175,2,2,0,1,1,Kat İrtifakı,-,Eşyalı Değil,6250000.0,4,1,4.0,3,0,1,0,0
Yunusemre,105,1,6,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,3650000.0,2,1,4.0,3,0,0,0,1
Yunusemre,60,1,2,1,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3250000.0,1,1,0.5,3,0,1,0,0
Sehzadeler,125,1,16,1,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,3750000.0,3,1,1.0,3,0,1,0,0
Saruhanli,140,1,1,1,1,0,Kat İrtifakı,Evet,Eşyalı Değil,4350000.0,3,1,2.0,3,0,1,0,0
Yunusemre,80,1,6,0,0,0,Kat İrtifakı,Evet,Eşyalı,3050000.0,2,1,3.0,3,0,1,0,0
Yunusemre,115,1,11,1,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,5750000.0,2,1,0.5,3,0,0,0,1
Yunusemre,58,1,0,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3000000.0,1,1,2.0,3,0,1,0,0
Yunusemre,160,2,15,0,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,7500000.0,3,1,10.0,3,0,0,1,0
Turgutlu,135,2,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,5800000.0,3,1,3.0,3,2,1,0,0
Turgutlu,100,1,0,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0,2,1,3.0,3,2,1,0,0
Yunusemre,60,1,0,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,2750000.0,1,1,3.0,3,0,1,0,0
Saruhanli,145,2,5,1,0,0,Kat İrtifakı,-,Eşyalı Değil,4300000.0,3,1,1.0,3,0,0,1,0
Akhisar,130,1,0,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4250000.0,3,1,1.0,3,2,1,0,0
Akhisar,130,1,25,1,1,1,Kat İrtifakı,-,Eşyalı Değil,3800000.0,3,1,3.0,3,0,1,0,0
Turgutlu,205,2,16,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,4500000.0,3,1,2.0,3,0,0,0,1
Turgutlu,190,2,0,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,6500000.0,3,1,1.0,3,0,1,0,0
Turgutlu,157,2,4,1,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,4800000.0,3,1,3.0,3,0,0,0,1
Yunusemre,55,1,15,0,1,0,Müstakil Tapulu,-,Eşyalı Değil,5500000.0,1,1,3.0,3,0,0,1,0
Turgutlu,85,1,21,1,0,0,Kat İrtifakı,Hayır,Eşyalı,1750000.0,2,1,3.0,1,0,0,1,0
Yunusemre,170,2,0,0,0,1,Kat İrtifakı,Evet,Eşyalı Değil,18500000.0,4,1,0.0,3,0,1,0,0
Akhisar,95,1,28,0,0,0,Müstakil Tapulu,-,-,1350000.0,2,1,5.0,3,0,1,0,0
Yunusemre,125,1,21,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,3650000.0,3,1,5.0,3,0,1,0,0
Turgutlu,201,2,11,0,1,0,Kat İrtifakı,Evet,-,2950000.0,2,2,4.0,3,0,0,1,0
Salihli,95,1,4,0,0,1,Kat Mülkiyeti,Hayır,-,3250000.0,2,1,4.0,3,0,1,0,0
Akhisar,125,1,30,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,1875000.0,3,1,4.0,3,0,1,0,0
Salihli,269,1,16,0,1,1,Müstakil Tapulu,Hayır,Eşyalı Değil,6950000.0,3,1,0.0,1,0,1,0,0
Akhisar,175,1,0,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,6800000.0,3,1,4.0,3,0,1,0,0
Turgutlu,145,1,11,1,1,1,Kat Mülkiyeti,Evet,Eşyalı Değil,4499000.0,3,1,0.5,3,0,1,0,0
Akhisar,135,1,9,0,1,0,Kat İrtifakı,Hayır,-,9000000.0,4,2,3.0,3,0,1,0,0
Yunusemre,130,1,5,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,4950000.0,3,1,3.0,3,0,0,0,1
Sehzadeler,125,2,28,0,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3750000.0,3,1,5.0,3,2,0,0,1
Turgutlu,160,1,6,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,2250000.0,3,1,0.0,3,0,0,1,0
Yunusemre,196,1,11,0,1,0,Kat Mülkiyeti,Evet,Eşyalı Değil,5000000.0,3,1,3.0,1,0,0,0,1
Soma,135,2,7,1,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2975000.0,3,1,2.0,3,0,1,0,0
Yunusemre,90,2,0,1,0,1,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,2,1,2.0,3,0,1,0,0
Akhisar,160,2,4,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,5500000.0,3,1,1.0,3,0,1,0,0
Akhisar,170,2,3,0,1,1,Kat İrtifakı,-,Eşyalı Değil,4100000.0,4,1,3.0,3,2,1,0,0
Yunusemre,135,1,6,0,0,0,-,-,-,3550000.0,3,1,3.0,3,0,1,0,0
Turgutlu,135,2,0,1,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,5650000.0,3,1,3.0,3,0,1,0,0
Turgutlu,100,1,31,0,0,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,2,1,2.0,3,0,0,0,1
